name,date,currency_code,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted
Turkey,2016-01-01,TRY,10.25,3.0096,3.40576820839979,-0.30917,-0.14835,-0.1933,0.0921,0.26907,10381.025,2.65849974780548,0.108,0.198,0.198,0.48,0.22
Taiwan,2016-01-01,TWD,69.0,33.2315,2.07634322856326,-0.57884,-0.48078,-0.50819,-0.3342,-0.2263,22599.765,3.10472591814138,-0.421,-0.375,-0.374,-0.228,-0.363
Ukraine,2016-01-01,UAH,36.0,23.35,1.54175588865096,-0.68727,-0.61446,-0.63482,-0.50562,-0.4255,,,,,,,
Uruguay,2016-01-01,UYU,113.0,30.185,3.74358124896472,-0.24065,-0.06387,-0.11329,0.20042,0.39495,,,,,,,
United States of America,2016-01-01,USD,4.93,1.0,4.93,0.0,0.23281,0.16773,0.58086,0.83704,54369.826,4.26496278801242,0.0,0.081,0.081,0.335,0.101
Vietnam,2016-01-01,VND,60000.0,22467.5,2.67052409035273,-0.45831,-0.3322,-0.36745,-0.14366,-0.0049,,,,,,,
South Africa,2016-01-01,ZAR,28.0,15.81375,1.77061101889179,-0.64085,-0.55724,-0.58061,-0.43223,-0.34023,6482.753,2.51613556086904,-0.391,-0.342,-0.342,-0.187,-0.33
United Arab Emirates,2016-07-01,AED,13.0,3.6731,3.53924477961395,-0.29777,-0.15845,-0.10177,0.02088,0.2707,,,,,,,
Argentina,2016-07-01,ARS,50.0,14.935,3.3478406427854,-0.33575,-0.20396,-0.15034,-0.03433,0.20198,13588.846,3.12301257961869,0.021,0.004,0.176,0.198,0.116
Australia,2016-07-01,AUD,5.75,1.335737661,4.30473750039754,-0.14589,0.02357,0.09251,0.24168,0.54554,50961.865,4.60669972300758,-0.11,-0.125,0.025,0.044,-0.027
Brazil,2016-07-01,BRL,15.5,3.24145,4.78181060944948,-0.05123,0.137,0.21359,0.37929,0.71682,8669.998,2.92773717149915,0.555,0.53,0.791,0.825,0.701
Canada,2016-07-01,CAD,6.0,1.303,4.60475825019187,-0.08636,0.0949,0.16865,0.32822,0.65326,43331.961,4.30379696660753,0.019,0.002,0.173,0.195,0.114
Switzerland,2016-07-01,CHF,6.5,0.9861,6.59162356758949,0.30786,0.56733,0.67291,0.90133,1.36661,80675.308,5.78630614883362,0.085,0.067,0.249,0.273,0.186
Chile,2016-07-01,CLP,2300.0,651.12,3.53237498464185,-0.29913,-0.16008,-0.10351,0.0189,0.26824,13340.905,3.11316946595375,0.08,0.063,0.244,0.268,0.182
China,2016-07-01,CNY,18.6,6.678,2.78526504941599,-0.44737,-0.33773,-0.29312,-0.1966,0.0,7989.72,2.90073053008947,-0.086,-0.101,0.053,0.073,0.0
Colombia,2016-07-01,COP,8900.0,2929.0,3.03857972004097,-0.39711,-0.2775,-0.22883,-0.12353,0.09095,6083.51,2.82505510045401,0.024,0.007,0.18,0.202,0.12
Costa Rica,2016-07-01,CRC,2250.0,546.39,4.11793773678142,-0.18295,-0.02085,0.0451,0.1878,0.47847,,,,,,,
Czech Republic,2016-07-01,CZK,75.0,24.54655,3.05541919332859,-0.39377,-0.27349,-0.22456,-0.11868,0.09699,17256.918,3.26863290714494,-0.11,-0.124,0.025,0.044,-0.026
Denmark,2016-07-01,DKK,30.0,6.75715,4.43974160703847,-0.1191,0.05567,0.12677,0.28063,0.59401,52114.165,4.65244536360801,-0.091,-0.106,0.047,0.066,-0.006
Egypt,2016-07-01,EGP,23.0,8.87995,2.5901046740128,-0.48609,-0.38413,-0.34265,-0.25289,-0.07007,3740.249,2.73202900001228,-0.097,-0.112,0.04,0.059,-0.013
Euro area,2016-07-01,EUR,3.82,0.908306463,4.20562899815015,-0.16555,0.0,0.06736,0.2131,0.50996,34142.38535,3.93897615175432,0.017,0.0,0.171,0.193,0.112
United Kingdom,2016-07-01,GBP,2.99,0.758840492,3.94022199859098,-0.21821,-0.06311,0.0,0.13654,0.41467,43770.688,4.32121417364016,-0.132,-0.146,0.0,0.019,-0.05
Hong Kong,2016-07-01,HKD,19.2,7.7554,2.4756943549011,-0.50879,-0.41134,-0.37169,-0.2859,-0.11115,42389.63,4.26638697333091,-0.447,-0.457,-0.364,-0.352,-0.396
Hungary,2016-07-01,HUF,900.0,285.6397,3.15082252221943,-0.37484,-0.25081,-0.20034,-0.09116,0.13125,12239.894,3.06945996885827,-0.023,-0.039,0.126,0.147,0.069
Indonesia,2016-07-01,IDR,31000.0,13112.5,2.36415633937083,-0.53092,-0.43786,-0.39999,-0.31807,-0.15119,3362.357,2.71702690713909,-0.171,-0.185,-0.046,-0.028,-0.094
India,2016-07-01,INR,162.0,67.2,2.41071428571429,-0.52168,-0.42679,-0.38818,-0.30464,-0.13448,1617.309,2.64774951528063,-0.133,-0.147,-0.001,0.017,-0.052
Israel,2016-07-01,ILS,16.9,3.85875,4.37965662455458,-0.13102,0.04138,0.11153,0.26329,0.57244,35343.336,3.98665319489738,0.046,0.029,0.205,0.227,0.144
